"13" "2018-11-05 17:35:09" "HTML5独立开发书城webApp" "3387" "初级" "11小时13分钟" "9.58分"
"15" "2018-11-05 17:35:14" "Web App用组件方式开发全站" "2916" "高级" " 9小时" "9.91分"
"38" "2018-11-05 17:35:41" "7天搞定Node.js微信公众号" "1742" "高级" "10小时43分钟" "9.27分"
"48" "2018-11-05 17:35:54" "前端到后台ThinkPHP开发整站" "3360" "中级" " 8小时50分钟" "9.69分"
"49" "2018-11-05 17:35:57" "MySQL提升课程 全面讲解MySQL架构设计" "2226" "中级" "14小时40分钟" "9.94分"
"50" "2018-11-05 17:35:59" "响应式开发一招致胜" "3573" "初级" "10小时" "9.78分"
"51" "2018-11-05 17:36:01" "Ionic飞速上手的跨平台App开发" "1314" "中级" " 6小时" "9.37分"
"53" "2018-11-05 17:36:05" "安卓自动化测试入门 Python篇" "1110" "初级" " 7小时30分钟" "9.89分"
"56" "2018-11-05 17:36:09" "贯穿全栈React Native开发APP" "946" "高级" "32小时" "9.97分"
"57" "2018-11-05 17:36:11" "Yii 2.0开发一个仿京东商城平台" "1452" "中级" "13小时" "9.66分"
"62" "2018-11-05 17:36:18" "Python高效编程技巧实战" "2582" "中级" " 8小时20分钟" "9.84分"
"65" "2018-11-05 17:36:22" "Laravel和 Angular JS开发全栈知乎" "105" "中级" "17小时" "8.67分"
"69" "2018-11-05 17:36:28" "快速开发轻量级App" "732" "中级" " 7小时55分钟" "9.55分"
"70" "2018-11-05 17:36:30" "Android架构师之路 网络层架构设计与实战" "558" "高级" "17小时40分钟" "9.32分"
"71" "2018-11-05 17:36:32" "学习算法思想，修炼编程内功" "6838" "中级" "13小时35分钟" "9.98分"
"72" "2018-11-05 17:36:35" "6小时 jQuery开发一个前端应用" "1219" "初级" " 6小时" "9.07分"
"74" "2018-11-05 17:36:38" "完整项目流程Vue.js 开发饿了么App" "6787" "高级" "17小时" "9.75分"
"75" "2018-11-05 17:36:41" "微信小程序入门与实战 常用组件API开发技巧项目实战" "15172" "初级" "14小时39分钟" "9.94分"
"76" "2018-11-05 17:36:43" "Android 5.0+高级动画开发 矢量图动画 轨迹动画 路径变换" "584" "中级" " 5小时40分钟" "9.97分"
"77" "2018-11-05 17:36:45" "Android自动化测试实战 Java篇 主流工具 框架 脚本" "1035" "初级" " 8小时45分钟" "9.68分"
"78" "2018-11-05 17:36:48" "Python升级3.6 强力Django+杀手级Xadmin打造在线教育平台" "3088" "中级" "26小时" "9.81分"
"79" "2018-11-05 17:36:50" "高性能可扩展MySQL数据库设计及架构优化 电商项目" "590" "中级" " 8小时10分钟" "9.19分"
"80" "2018-11-05 17:36:53" "Angular JS 仿拉勾网 WebApp 开发移动端单页应用" "1589" "中级" " 7小时36分钟" "9.88分"
"81" "2018-11-05 17:36:55" "带领新手快速开发Android App" "1360" "初级" "13小时18分钟" "9.98分"
"82" "2018-11-05 17:36:58" "玩转算法面试 从真题到思维全面提升算法思维" "3088" "中级" "18小时10分钟" "10.00分"
"83" "2018-11-05 17:37:00" "结合基础与实战学习React.js 独立开发新闻头条平台" "2675" "初级" "15小时23分钟" "9.43分"
"84" "2018-11-05 17:37:02" "组件化封装思想实战Android App" "1166" "中级" "12小时14分钟" "9.76分"
"85" "2018-11-05 17:37:04" "Thinkphp 5.0 仿百度糯米开发多商家电商平台" "1870" "中级" "16小时" "9.81分"
"89" "2018-11-05 17:37:11" "React Native技术精讲与高质量上线APP开发" "1440" "中级" "32小时" "9.54分"
"90" "2018-11-05 17:37:14" "Yii 2.0进阶版 高级组件 ES/Redis/ Sentry 优化京东平台" "455" "高级" "18小时50分钟" "9.98分"
"91" "2018-11-05 17:37:16" "最容易上手的Vue 2.0入门实战教程" "3965" "初级" " 9小时40分钟" "9.10分"
"92" "2018-11-05 17:37:18" "聚焦Python分布式爬虫必学框架Scrapy 打造搜索引擎" "2932" "中级" "23小时" "9.86分"
"93" "2018-11-05 17:37:20" "Java Spring带前后端开发完整电商平台" "612" "中级" "20小时41分钟" "9.36分"
"94" "2018-11-05 17:37:23" "Angular 4.0从入门到实战 打造股票管理网站" "2422" "中级" "14小时" "9.78分"
"95" "2018-11-05 17:37:25" "Node.js项目线上服务器部署与发布" "1519" "中级" " 7小时" "9.84分"
"96" "2018-11-05 17:37:27" "从0开始 独立完成企业级Java电商网站开发" "5958" "中级" "20小时" "9.89分"
"97" "2018-11-05 17:37:30" "微信小程序商城构建全栈应用" "2748" "中级" "23小时39分钟" "9.93分"
"98" "2018-11-05 17:37:32" "ES6零基础教学 解析彩票项目" "1902" "中级" "12小时 7分钟" "9.51分"
"99" "2018-11-05 17:37:35" "React高级实战 打造大众点评 WebApp" "1651" "高级" "12小时" "9.26分"
"100" "2018-11-05 17:37:37" "手把手开发一个完整即时通讯APP " "864" "中级" "36小时55分钟" "9.93分"
"101" "2018-11-05 17:37:39" "BAT大牛亲授技能+技巧 Android面试快速充电升级" "3298" "中级" "18小时" "9.82分"
"102" "2018-11-05 17:37:41" "微信服务号+Yii 2.0构建商城系统全栈应用" "578" "中级" "18小时30分钟" "9.79分"
"103" "2018-11-05 17:37:43" "机器学习入门 Scikit-learn实现经典小案例" "775" "初级" " 9小时" "8.98分"
"104" "2018-11-05 17:37:46" "腾讯大牛亲授 Web 前后端漏洞分析与防御技巧" "467" "中级" "11小时19分钟" "9.90分"
"105" "2018-11-05 17:37:48" "IT段子手详解MyBatis遇到Spring 秒学Java SSM开发大众点评" "871" "中级" "12小时" "9.18分"
"106" "2018-11-05 17:37:50" "Android应用发展趋势必备武器 热修复与插件化 " "539" "中级" "10小时23分钟" "9.63分"
"107" "2018-11-05 17:37:53" "全网稀缺Vue 2.0高级实战 独立开发专属音乐WebAPP" "3643" "高级" "20小时" "9.92分"
"108" "2018-11-05 17:37:55" "全新升级 Kotlin系统入门与进阶" "2381" "初级" "17小时 5分钟" "9.82分"
"109" "2018-11-05 17:37:58" "真实数据对接 从0开发前后端分离的企业级上线项目" "2937" "中级" "20小时" "9.96分"
"110" "2018-11-05 17:38:00" "Java SSM快速开发仿慕课网在线教育平台" "674" "中级" "14小时45分钟" "9.07分"
"111" "2018-11-05 17:38:03" "Laravel 快速开发简书" "895" "中级" "14小时30分钟" "9.46分"
"112" "2018-11-05 17:38:06" "以慕课网日志分析为例 进入大数据 Spark SQL 的世界" "1107" "中级" "18小时" "9.87分"
"113" "2018-11-05 17:38:08" "Get全栈技能点 Vue2.0 / Node.js / MongoDB 打造商城系统 " "1846" "中级" "18小时" "9.87分"
"114" "2018-11-05 17:38:11" "Python操作三大主流数据库" "1015" "初级" "10小时" "9.67分"
"115" "2018-11-05 17:38:14" "前端JavaScript面试技巧" "3055" "初级" "11小时10分钟" "9.86分"
